hid,title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
y7ZOKtLb,Kill the Hero,reading,,153,2024-16-09,"킬 더 히어로,Tuons le ""héro"",キル・ザ・ヒーロー,Убийство героя,Убить героя,獵殺英雄,킬더히어로",https://myanimelist.net/manga/146979?utm_source=comick,https://anilist.co/manga/117536?utm_source=comick,https://www.mangaupdates.com/series.html?id=164539&utm_source=comick
Z8XnRIZd,"Even Given the Worthless ""Appraiser"" Class, I'm Actually the Strongest: Unsurpassed with the Strongest ""Divine Eye"" Trained in the Abyss",reading,,19.1,2024-16-09,"The Unfavorable Job [Appraiser] is Actually the Strongest,Mesmo tendo a classe de ""Avaliador"" sem valor, sou na verdade o mais forte - Insuperável com o [Olho Divino] mais forte treinado no Abismo,不遇職【鑑定士】が実は最強だった ～奈落で鍛えた最強の【神眼】で無双する～,Fuguushoku ""Kanteishi"" ga Jitsu wa Saikyou Datta ~Naraku de Kitaeta Saikyou no ""Shingan"" de Musou suru~,Chức nghiệp [thẩm định] không thuận lợi nhưng thực ra lại là kẻ mạnh nhất,Đen đủi khi có nghề [Giám định sĩ] nhưng tôi lại là người mạnh nhất,Even Given the Worthless ""Appraiser"" Class, I'm Actually the Strongest,The Unfavourable Job [Appraiser] Is Actually the Strongest - Unsurpassed with the strongest [God's Eye] that was trained in the abyss,不遇職【鑑定士】が実は最強だった～奈落で鍛えた最強の【神眼】で無双する～,Fuguushoku [Kanteishi] ga Jitsu wa Saikyou Datta - Naraku de Kitaeta Saikyou no [Shingan] de Musou Suru",https://myanimelist.net/manga/128555?utm_source=comick,https://anilist.co/manga/122180?utm_source=comick,https://www.mangaupdates.com/series.html?id=171567&utm_source=comick
FjHOpaSC,Legend of an Asura - The Poison Dragon,reading,,,,"Легенда о Cуре: Ядовитый Дракон,수라전설 독룡,修羅伝説 毒龍,Legenda Asury - Trujący Smok,Poison Dragon: The Legend of an Asura,La Légende du Dragon venimeux,Legend Of An Asura: The Poison Dragon,Legend of Sura - Venom Dragon,Surajeonseol Dongnyong,Legend of an Asura - The Poison Dragon",https://myanimelist.net/manga/150784?utm_source=comick,https://anilist.co/manga/130566?utm_source=comick,https://www.mangaupdates.com/series.html?id=178445&utm_source=comick
ZI8OKYku,The Player Who Can't Level Up,reading,,163,2024-12-09,"无法升级的玩家,레벨업 못하는 플레이어,Игрок, который не может повысить уровень,The Player Who Can't Level Up: O Mestre dos Egos,The Player That Can’t Level Up,El jugador que no puede subir de nivel,Level-Up Motaneun Player,Player Who Can't Level Up,The Player That Can't Level Up,留級玩家",https://myanimelist.net/manga/147995?utm_source=comick,https://anilist.co/manga/130511?utm_source=comick,https://www.mangaupdates.com/series.html?id=178444&utm_source=comick
MjEuyj1b,Isekai Tensei Soudouki,reading,,100,2024-11-09,"Notes de ma réincarnation dans un autre monde,Реинкарнация и растроение личности,异世界转生骚动记,이세계 전생 소동기,異世界転生騒動記,Multi-mind Mayhem,Multi-Mind Mayhem: Isekai Tensei Soudouki,Annals Of Otherworld Reincarnation Strife,Different World Reincarnation Riot Report",,,
nLT0JiXI,The Fifth Prince Exiled to the Frontier Survives with His [Luck] Skill,reading,,2,2024-10-09,"辺境に追放された第5王子は【幸運】スキルでさくさく生き延びます,The Fifth Prince Exiled to the Frontier Survives with His [Luck] Skill,Henkyo ni tsuihou sareta dai go ouji wa [Kouun] sukiru de sakusaku ikinobimasu",,,
dz67cI0r,"Yama ni Suterareta Ore, Tokage no Youshi ni Naru - Mahou wo Kiwamete Oya o Koetakedo, Oya ga Densetsu no ko Ryuudatta Nante Shiranai",reading,,8,2024-01-09,"山に捨てられた俺、トカゲの養子になる　魔法を極めて親を超えたけど、親が伝説の古竜だったなんて知らない,Yama ni Suterareta Ore, Tokage no Youshi ni Naru - Mahou o Kiwamete Oya o Koetakedo, Oya ga Densetsu no ko Ryuudatta Nante Shiranai,Abandoned in the Mountains, I'm Adopted by a Lizard: I've Mastered Magic and Surpassed My Parents, but I Never Knew They were Legendary Old Dragons,Abandoned in the Mountains, I'm Adopted by a Lizard,I've Mastered Magic and Surpassed My Parents, but I Never Knew They Were Legendary Old Dragons",https://myanimelist.net/manga/167906?utm_source=comick,https://anilist.co/manga/175581?utm_source=comick,https://www.mangaupdates.com/series/1vxv0ou?utm_source=comick
THY2xdg_,"Ore ni wa Kono Kuragari ga Kokochi Yokatta —Zetsubou kara Hajimaru Isekai Seikatsu, Kami no Kimagure de Kyousei Haishinchuu—",reading,,36.5,2024-31-08,"黑暗使我感到愉悦,從絕望開始的異世界生活,俺にはこの暗がりが心地よかった　―絶望から始まる異世界生活、神の気まぐれで強制配信中―,The darkness was comfortable for me,The Darkness Was Comfortable for Me: A Life in Another World That Begins in Despair, Forcibly Distributed by the Whim of God,Ore Niwa Kono Kuragari ga Kokochi Yokatta,This Darkness Was Comfortable for Me,俺にはこの暗がりが心地よかった,Ore ni wa Kono Kuragari ga Kokochiyokatta",https://myanimelist.net/manga/163779?utm_source=comick,https://anilist.co/manga/154490?utm_source=comick,https://www.mangaupdates.com/series/ofc8kzp?utm_source=comick
Sxww0LYs,"Yatarato Sasshi no Ii Ore wa, Dokuzetsu Kuudere Bishoujo no Chiisana Dere mo Minogasazu ni Guigui Iku",reading,,9.5,2024-25-08,"やたらと察しのいい俺は、毒舌クーデレ美少女の小さなデレも見逃さずにぐいぐいいく,Relentlessly Approaching the Poison-Tongued and Indifferent Beauty to Tickle the Cutesy Reactions Out of Her,From Toxic Classmate to Girlfriend Goals,ผมที่โคตรเซนส์ดี ไม่มีทางเมินความเขินนิดเขินหน่อย ของสาวน้อยคูลเดเระอย่างเธอได้หรอกนะ,观察力太好的我不放过毒舌冷娇美少女任何娇羞之处，不断地对她进行攻略,Yatarato Sasshi no Ii Ore wa, Dokuzetsu Kuudere Bishoujo no Chiisana Dere mo Minogasazu ni Guigui Iku,From Toxic Classmate to Girlfriend Goals, やたらと察しのいい俺は、毒舌クーデレ美少女の小さなデレも見逃さずにぐいぐいいく",https://myanimelist.net/manga/139137?utm_source=comick,https://anilist.co/manga/137429?utm_source=comick,https://www.mangaupdates.com/series.html?id=185960&utm_source=comick
HIEpcCw,Berserk of Gluttony,reading,,62,2024-19-08,"Ненасытный Берсерк,狂怒的暴食 ～僅自己突破了等級這概念～,狂怒的暴食 ～只有我突破了等级这概念～,Berserk de la Gourmandise : Celui qui surpasse le concept même de niveaux,Berserk obżarstwa,폭식의 베르세르크 ~나만 레벨이라는 개념을 돌파한다~,Berserk of Gluttony,暴食のベルセルク～俺だけレベルという概念を突破する～ THE COMIC,Berserk of Gluttony: The One that Exceeds the Concept of Levels,Boushoku no Berserk ~Ore Dake Level to Iu Gainen o Toppa Suru~,Bạo Thực Cuồng Nhân,Berserk of Gluttony - The One That Exceeds The Concept of Levels,Boshoku no Berserk: Ore Dake Reberu to Iu Gainen o Toppa Suru,Boushoku no Berserk,Boushoku no Berserk - Ore Dake Level to Iu Gainen o Toppa Suru,Boushoku no Berserk - Ore Dake Level to Iu Gainen wo Toppa Suru,Godumo įniršis,Берсерк Ненажерливості,暴食のベルセルク ~俺だけレベルという概念を突破する~THE COMIC,폭식의 버서크 ~나만 레벨이라는 개념을 돌파한다~,Boushoku no Berserk - Ore Dake Level to Iu Gainen o Toppa Suru - The Comic,暴食のベルセルク ～俺だけレベルという概念を突破する～,จอมตะกละดาบคลั่ง -ข้านี่แหละจะทะลวงแนวความคิดที่เรียกว่าเลเวลเอง- (Luckpim),Savaşının Açlığı: Seviye Denen Kavramı Sadece Ben Aşabilirim",,,
